Intensity,Wavelength (nm),Element
162,985.84441,Th 
26,986.73027,Th
23,986.81534,Th 
52,987.05958,Th 
37,987.16258,Th 
34,987.47016,Th 
15,987.53365,Th 
106,987.6522,Th 
107,989.87609,Th 
30,990.10661,Th 
100,990.50717,Th 
24,990.86024,Ar
41,990.91074,Ar
34,991.0188,Th 
56,991.27921,Th   
28,991.35528,Th 
150,991.38299,Th 
23,991.49167,Th 
34,991.88376,Th 
21,991.8878,Ar
42,993.00464,Th 
48,993.2532,Th 
53,993.27656,Th 
14,993.54968,Th 
26,993.74424,Th 
58,993.79226,Th 
19,994.1561,Th 
139,994.57901,Th
20,994.98038,Th 
38,995.18804,Ar
96,995.45763,Ar 
124,995.50986,Th 
17,996.07846,Th 
93,996.62223,Th 
36,996.9779,Ar
244,997.31955,Th 
8,997.58237,Th 
121,997.74234,Th 
440,998.77871,Th 
840,999.03729,Th 
28,999.26755,Th 
47,999.53872,Th 
53,999.66026,Ar
20,1000.12502,Th 
46,1000.17006,Th 
46,1001.41395,Th 
146,1003.23914,Ar 
64,1003.59713,Th 
25,1003.98706,Th 
54,1004.18478,Th 
1340,1004.21157,Th 
40,1004.80663,Th 
72,1005.07908,Th 
1520,1005.47963,Ar 
17,1005.77181,Th 
28,1005.89656,Th 
199,1007.17355,Ar 
8,1008.16685,Th 
34,1008.23034,Th 
17,1008.39863,Th 
10,1008.54797,Th 
139,1008.56428,Th 
480,1008.65493,Th 
46,1008.91684,Th 
1560,1009.19003,Th 
28,1010.53442,Th 
22,1010.78463,Th 
9,1010.83153,Th 
69,1011.43659,Ar
22,1011.4646,Th 
53,1012.07629,Th 
8,1012.34317,Th 
11,1012.93258,Th 
16,1013.41444,Th 
363,1013.63434,Th
35,1014.01646,Th 
218,1014.32103,Th 
810,1014.41765,Th 
193,1014.7045,Th 
212,1016.6165,Ar 
242,1017.77965,Th 
291,1018.13088,Th 
53,1018.33832,Th 
34,1018.73305,Th 
90,1019.12078,Th 
23,1019.76943,Th 
39,1021.43319,Th 
17,1021.72362,Th 
15,1021.74703,Th   
302,1022.12329,Th 
10,1022.21806,Th
19,1022.3797,Ar
59,1022.64605,Th 
156,1023.88331,Th 
30,1024.4582,Th 
191,1025.03651,Th 
114,1025.34884,Th 
104,1025.68369,Ar 
29,1025.83908,Th 
520,1026.018,Th 
44,1026.09782,Th   
12,1027.10735,Ar
10.6,1027.1365,Th 
29,1027.40032,Th 
30,1027.48728,Th   
22,1027.9615,Th   
9,1028.11624,Th 
7.1,1028.16766,Th 
193,1028.5934,Th 
8,1028.83041,Th 
29,1029.18111,Th
93,1029.58698,Th 
6.6,1030.26951,Th 
52,1030.39896,Th
22,1030.69009,Th 
291,1031.13693,Th 
207,1031.19479,Ar 
25,1031.77201,Th 
180,1031.9718,Th 
12,1032.01867,Th 
910,1033.55558,Ar 
30,1033.77571,Th 
17,1034.71157,Th 
37,1034.9372,Th 
213,1035.18842,Th 
26,1035.31678,Th 
66,1036.10062,Th 
12,1036.28404,Th
15,1036.57992,Th 
118,1037.23674,Th 
18,1038.03318,Th 
22,1038.09845,Th 
8,1038.16632,Th 
20,1039.03415,Th 
17,1040.42467,Th 
21,1040.59024,Th 
9,1041.13492,Th 
27,1041.32827,Th 
7,1041.53559,Th 
101,1041.58448,Th 
9,1042.07303,Th 
139,1042.24336,Th
9.2,1042.66522,Th
9,1042.69765,Th 
68,1043.2528,Th
13,1043.69667,Th 
18,1043.77464,Th 
72,1043.79539,Th 
38,1043.97237,Th 
72,1044.23661,Th 
22,1044.33703,Ar
134,1045.33054,Th 
114,1046.25866,Th 
110,1047.00489,Ar
57000,1047.29222,Ar 
11.1,1048.0567,Th 
8000,1048.09049,Ar 
26,1048.62378,Th 
14,1049.02983,Th 
550,1049.51323,Th 
580,1049.77153,Th 
15,1049.84792,Th 
460,1050.13683,Th 
73,1050.54666,Th 
67,1050.89992,Ar 
960,1050.93808,Ar 
11,1051.24147,Th 
337,1051.50846,Th 
44,1052.10667,Th 
23,1052.2393,Ar
108,1052.87222,Th 
14.6,1053.00141,Th 
358,1053.06705,Th 
269,1053.2212,Ar 
44,1053.28701,Th   
49,1053.62691,Th 
20,1053.97504,Th 
18,1054.31025,Th 
189,1054.38421,Th 
19,1054.5672,Th   
19,1054.81812,Th 
13,1055.67746,Th 
100,1055.77281,Th 
890,1055.93421,Th 
17,1056.60791,Th   
1180,1056.8199,Th 
10.3,1057.00752,Th 
22,1057.9255,Th 
12,1058.45797,Th 
10,1058.46127,Th 
23,1058.79216,Th 
8.1,1058.9824,Th 
35,1058.99979,Th 
22,1059.42494,Th 
18,1059.768,Th 
16,1059.98092,Th 
12,1060.34969,Th 
16.1,1060.42413,Th 
72,1060.83652,Th 
10.1,1061.00098,Th 
16,1061.28596,Th 
82,1061.6291,Th 
111,1061.79109,Th 
29,1062.54541,Th 
20,1063.27526,Th 
18,1063.71955,Ar 
22,1064.1037,Ar
6.5,1064.32355,Th 
29,1064.94321,Th 
10.9,1065.25714,Th 
10,1065.74097,Th   
13,1066.37767,Th
260,1066.71537,Th 
21,1067.14146,Th 
31600,1067.64898,Ar 
37,1068.12889,Th 
4600,1068.46995,Ar 
342,1068.63317,Ar 
11.1,1069.31012,Th 
18.7,1070.32863,Th 
580,1070.39181,Ar 
14.8,1070.65779,Th   
237,1071.57231,Ar 
30,1072.51681,Ar 
147,1072.68615,Th
383,1072.83566,Th 
5200,1072.98649,Th 
162,1073.51836,Th 
420,1073.67957,Ar 
28,1074.47564,Th   
38,1074.73096,Th 
31,1075.23727,Th 
22,1075.24344,Th 
8.6,1075.48085,Th   
26,1075.54159,Th 
206,1075.72758,Th 
560,1076.20931,Ar 
109,1077.33341,Ar 
36,1077.53854,Th 
390,1077.63202,Ar 
10,1077.72884,Th 
134,1077.99322,Th 
28,1078.20488,Th 
92,1078.88649,Th 
49,1078.93195,Th 
13,1079.7019,Th
260,1080.30065,Th 
108,1080.31162,Th 
10.3,1080.54916,Th 
145,1080.68759,Th 
18,1080.74822,Th 
35,1080.9974,Ar 
39,1081.03042,Th 
132,1081.5241,Th 
91,1081.586,Ar
430,1081.63558,Th 
68,1081.65325,Th 
57,1082.30431,Th
25,1082.3187,Ar 
45,1083.71409,Th 
9.7,1083.82255,Th 
69,1084.73746,Th 
24,1085.64308,Th 
17.5,1086.03296,Th 
160,1086.40532,Ar 
78,1086.54782,Th 
18,1086.75704,Th 
12.8,1086.99261,Th 
8,1087.03167,Ar
120,1087.29408,Th 
1920,1088.39231,Ar 
12.9,1088.55541,Th 
74,1089.32664,Th 
284,1089.53465,Ar 
11,1089.78574,Th 
104,1090.4175,Th 
26,1091.43145,Th 
39,1091.65686,Th 
70,1092.64365,Ar
13.5,1092.6712,Th 
7.4,1092.74777,Th
6.5,1093.01915,Th 
14,1094.19074,Th 
19,1094.46207,Th
340,1094.52427,Th
16,1094.54014,Th 
43,1094.5433,Th 
97,1095.08672,Ar 
46,1095.11497,Th 
1630,1095.37273,Ar 
11.1,1095.86405,Th   
352,1096.58863,Th 
13,1096.69814,Th 
5.1,1096.82538,Th 
5.8,1097.95201,Th 
54,1098.5917,Th 
19.3,1098.599,Th 
10.5,1098.62093,Th 
138,1098.66402,Th 
16,1099.3221,Th 
9.9,1100.39095,Th 
45,1100.48066,Th 
123,1101.9803,Th 
4.2,1101.98628,Th 
60,1102.47865,Th 
14,1102.6614,Th 
10.5,1102.99953,Th   
11,1103.11049,Th 
15.8,1103.46251,Th 
103,1103.93397,Th 
20,1104.13131,Th 
20.3,1104.60101,Th 
38,1104.6171,Th 
111,1104.92449,Th 
6.2,1105.39998,Th 
860,1105.49215,Th 
84,1105.80137,Th 
71,1106.00363,Th 
11,1107.45078,Th 
34,1107.67632,Th 
199,1107.7838,Th 
3360,1108.19033,Ar 
43,1109.37671,Th 
17,1109.51938,Th 
12.1,1109.753,Th 
17.2,1110.18236,Th 
196,1110.48435,Th 
730,1110.94924,Ar 
45,1111.71977,Th 
151,1112.18085,Ar 
39,1112.70649,Th 
20,1112.77872,Th 
84,1112.85866,Th 
214,1113.13349,Th 
162,1113.69262,Ar 
10.5,1113.75182,Th 
71,1114.18677,Th 
6.2,1114.20195,Th 
34,1114.29271,Th 
9.6,1116.06112,Th 
46,1116.51538,Th 
19,1117.6336,Ar
38,1118.21603,Th 
9.1,1118.37667,Th 
17.1,1118.59001,Th 
299,1118.89881,Th 
20,1119.27506,Th 
71,1119.37763,Th 
9.2,1120.6898,Th 
129,1120.86461,Th 
13.6,1121.87227,Th 
15,1122.42482,Th 
13,1122.73121,Th
42,1122.86033,Th 
4.9,1123.2859,Th   
4900,1123.33294,Th 
21.6,1123.67512,Th 
12.6,1124.20574,Th 
13,1124.73942,Th
12,1124.7446,Th 
20.2,1124.84922,Th 
11,1124.97658,Th 
98,1125.14291,Ar 
138,1125.65863,Ar
23.3,1125.81714,Th 
62,1126.12063,Th
91,1126.20654,Th 
11,1126.32225,Th 
23,1126.60176,Th   
65,1127.66537,Th 
20.9,1127.9424,Th 
107,1127.99015,Th 
9.4,1128.84407,Th 
25.8,1129.27338,Th 
6.8,1130.0631,Th 
11.9,1130.06955,Th 
9.6,1130.42239,Th 
48,1130.66382,Th 
198,1130.68818,Th 
37,1131.04067,Th 
10,1131.45144,Th 
18.1,1132.43458,Th 
21,1132.47628,Th 
17.1,1132.55002,Th 
7,1132.94987,Th 
31,1133.00718,Th 
225,1133.35264,Th 
6.5,1133.44775,Th 
78,1133.51456,Th 
38,1134.59617,Th 
179,1134.68215,Th 
9,1134.95942,Th 
17,1135.31832,Th 
470,1135.5028,Th 
18.8,1135.52296,Th 
2660,1135.78225,Th 
7.1,1135.97148,Th 
47,1136.16072,Th 
21,1136.16735,Th 
12.7,1136.41759,Ar
14,1136.94274,Th 
13,1137.21969,Th 
4.5,1137.44106,Th 
47,1137.78355,Th
48,1138.7037,Th 
45,1138.75865,Th 
177,1138.93518,Th 
1950,1139.68207,Ar 
147,1140.17572,Ar 
36,1142.04301,Th 
8.5,1142.28183,Th 
5.5,1142.31652,Th 
410,1143.28362,Th 
78,1143.57216,Th 
19.9,1143.59795,Th 
4300,1144.49647,Ar 
9,1144.58806,Th 
9.1,1144.75494,Th 
7.7,1145.86787,Th 
8.2,1146.1592,Th 
21.3,1146.79186,Th 
192,1146.81767,Th 
1490,1147.0685,Ar 
34,1147.1735,Th 
15.5,1147.59572,Th 
36,1147.88935,Th 
12.9,1147.92153,Th 
13,1148.19203,Th 
13800,1149.1254,Ar 
115,1149.30296,Th 
14.9,1149.72094,Th 
85,1150.46253,Th 
44,1150.53305,Th 
5.6,1150.92206,Th 
51,1151.31732,Th 
9.4,1151.44285,Th 
890,1151.47099,Th 
32,1151.52107,Th 
10,1151.5953,Th 
71,1151.81128,Th 
8,1151.9444,Th 
143,1151.96063,Th 
9,1152.0538,Th 
94,1152.96125,Th 
232,1153.0053,Th   
26.5,1153.4091,Th 
21.3,1153.92253,Th 
11.4,1154.69758,Th 
9,1155.47738,Th 
34,1156.04981,Th
35,1156.13766,Th 
211,1157.46465,Th 
5.8,1157.68182,Th 
54,1157.86836,Th 
13,1158.14238,Th 
21,1158.2284,Ar 
26,1158.301,Th 
386,1158.35605,Ar 
11.2,1158.44755,Th 
6.9,1158.58821,Th   
69,1159.31256,Th 
440,1159.91584,Th 
13.5,1160.0172,Th 
18,1160.57662,Th 
36,1160.86454,Th 
21.1,1161.30884,Th 
22,1161.64909,Th 
12.4,1161.8385,Th 
318,1162.06397,Th 
30.4,1162.13709,Th 
11.9,1163.5139,Th
5.8,1163.55256,Th 
62,1163.77865,Th 
33,1163.93352,Th 
6.9,1163.96834,Th 
14.2,1163.97708,Th 
9.6,1164.43815,Th 
9.2,1165.16899,Th 
9,1166.0449,Th 
16.8,1166.19739,Th 
31,1166.43677,Th 
21.1,1166.61065,Th 
224,1167.08327,Th 
14800,1167.19043,Ar 
8,1168.1503,Th 
284,1168.16831,Ar 
7.4,1168.61085,Th 
308,1169.0803,Ar 
8.3,1169.71997,Th 
20.9,1169.7479,Th 
10.4,1169.84612,Th 
32,1170.20288,Th 
750,1170.66565,Th 
148,1171.14115,Ar 
34,1171.54233,Th 
9.5,1171.70953,Th 
3130,1172.26969,Ar 
31,1172.38292,Th   
6.4,1172.569,Th 
13.1,1172.64918,Th 
8.6,1173.25438,Th 
1840,1173.64426,Ar 
9.2,1176.04852,Th   
5.1,1176.47569,Th 
12.2,1176.98741,Th 
110,1177.83894,Th 
32,1177.96362,Th
10,1178.27501,Th 
4.6,1179.36063,Th 
14.3,1179.58713,Th 
5.4,1179.62894,Th 
8.5,1180.53395,Th 
42,1180.73419,Th 
325,1180.78479,Th 
8.1,1181.05422,Th
16.4,1181.51564,Th 
12.5,1182.17798,Th 
8.7,1182.50724,Th 
74,1182.58717,Th 
9.5,1182.81403,Th 
40,1183.08174,Th 
203,1183.28754,Th 
63,1183.29715,Th 
16.7,1183.81747,Th 
20,1184.04205,Th 
5.4,1184.29291,Th
144,1186.16271,Th 
10.5,1186.544,Th 
650,1186.74939,Th 
25.3,1186.88873,Th
46,1187.16151,Th 
8.9,1187.38804,Th 
25.2,1187.71056,Th 
12.7,1187.74531,Th
18.7,1187.78716,Th 
100,1187.80977,Ar
11,1188.18603,Th 
174,1188.32369,Ar 
17.2,1188.60241,Th 
1200,1188.77334,Ar 
138,1188.77831,Th 
13,1188.93341,Th
7.1,1189.06058,Th 
7.4,1189.20746,Th 
24,1189.81982,Th 
400,1189.98895,Ar 
50,1190.30911,Th 
7.9,1191.31163,Th 
20.9,1191.4767,Th
30.6,1191.98448,Th 
6,1192.84667,Th 
730,1194.3905,Th 
208,1194.53949,Th 
2870,1194.65475,Ar 
1550,1194.71353,Ar 
450,1194.86283,Th 
5.6,1194.86857,Th 
7.1,1194.9882,Th 
117,1195.53365,Th 
5.3,1196.34167,Th
3.9,1196.48427,Th 
6.9,1197.74114,Th 
172,1198.7948,Th
5.1,1200.9235,Th 
24,1201.11464,Th
37,1201.9233,Th 
86,1202.13393,Th 
610,1202.20052,Th 
9.1,1202.33823,Th 
1760,1202.99409,Ar 
43,1204.0931,Th 
7.5,1204.15406,Th 
5.2,1204.62386,Th 
4.8,1205.45575,Th 
8,1206.4839,Th 
12,1206.9576,Ar
16.6,1207.79666,Th 
4.8,1207.88391,Th 
8.7,1208.55224,Th 
8,1209.0677,Th
92,1209.28715,Ar
11,1210.30888,Th 
7.5,1211.26239,Th 
24,1211.27473,Th 
